BlockId;Coordinates;cv_cox_avg;cv_centurylink_avg;cv_cox_dict;cv_centurylink_dict
40131099003015;[[33.48207, -112.177829], [33.482078, -112.178704], [33.482723, -112.1787], [33.482749999999996, -112.178714], [33.482766999999996, -112.178747], [33.482769999999995, -112.178841], [33.482760999999996, -112.179078], [33.48274, -112.179259], [33.482709, -112.17943], [33.482664, -112.179617], [33.482622, -112.179755], [33.48256, -112.17992699999999], [33.482484, -112.18009599999999], [33.482442, -112.180168], [33.482295, -112.180444], [33.482217999999996, -112.180622], [33.482149, -112.180815], [33.482093, -112.181015], [33.482054999999995, -112.181218], [33.482031, -112.18140700000001], [33.482019, -112.181618], [33.48202, -112.182115], [33.482219, -112.182114], [33.482711, -112.182112], [33.482715, -112.181526], [33.482734, -112.181352], [33.482760999999996, -112.181217], [33.482785, -112.181127], [33.482844, -112.180967], [33.482945, -112.18075400000001], [33.483069, -112.180523], [33.483167, -112.180314], [33.483224, -112.18017], [33.4833, -112.179943], [33.483364, -112.17970000000001], [33.48341, -112.179452], [33.483443, -112.179197], [33.483457, -112.179012], [33.483461, -112.178757], [33.483447999999996, -112.177809], [33.482852, -112.177818], [33.48207, -112.177829]];5.357999999999995;8.07625;{"0.0": 2, "5.64": 38};{"9.23": 35, "0.0": 5}
40131099003013;[[33.483224, -112.18017], [33.483167, -112.180314], [33.483069, -112.180523], [33.482945, -112.18075400000001], [33.482844, -112.180967], [33.482785, -112.181127], [33.483058, -112.181224], [33.483159, -112.181248], [33.483314, -112.181267], [33.483678999999995, -112.181266], [33.483739, -112.181248], [33.483778, -112.181224], [33.484494999999995, -112.181114], [33.484488999999996, -112.180996], [33.484448, -112.18057999999999], [33.484390999999995, -112.180166], [33.484375, -112.180079], [33.483885, -112.180325], [33.483658999999996, -112.180352], [33.483612, -112.180353], [33.483548, -112.180339], [33.483224, -112.18017]];5.64;8.520000000000003;{"5.64": 13};{"9.23": 12, "0.0": 1}
40131099003014;[[33.483447999999996, -112.177809], [33.483461, -112.178757], [33.483457, -112.179012], [33.483443, -112.179197], [33.48341, -112.179452], [33.483364, -112.17970000000001], [33.4833, -112.179943], [33.483224, -112.18017], [33.483548, -112.180339], [33.483612, -112.180353], [33.483658999999996, -112.180352], [33.483885, -112.180325], [33.484375, -112.180079], [33.484283999999995, -112.179542], [33.484226, -112.179135], [33.484192, -112.178818], [33.484164, -112.178435], [33.484153, -112.178094], [33.484153, -112.177799], [33.483447999999996, -112.177809]];5.371428571428571;9.229999999999999;{"5.64": 20, "0.0": 1};{"9.23": 21}
40131148001013;[[33.430897, -112.098216], [33.430892, -112.09734], [33.430262, -112.097329], [33.430262, -112.098111], [33.430276, -112.098154], [33.430298, -112.098182], [33.430329, -112.0982], [33.430349, -112.098204], [33.430897, -112.098216]];4.05;0.5;{"4.05": 6};{"0.0": 1, "0.6": 5}
40131148002020;[[33.432178, -112.084662], [33.432175, -112.08542], [33.432176999999996, -112.086382], [33.432178, -112.086832], [33.432646999999996, -112.086844], [33.433118, -112.086846], [33.433124, -112.086345], [33.433126, -112.086149], [33.433124, -112.085813], [33.433118, -112.084671], [33.432178, -112.084662]];3.434499999999999;0.18000000000000005;{"4.01": 4, "4.05": 13, "0.0": 3};{"0.0": 2, "0.2": 18}
40131156001019;[[33.39667, -112.099223], [33.396668999999996, -112.099352], [33.396659, -112.100188], [33.397317, -112.100201], [33.398046, -112.100216], [33.398784, -112.100231], [33.399501, -112.100246], [33.399532, -112.099278], [33.398759, -112.099267], [33.39667, -112.099223]];3.7759999999999985;0.056000000000000036;{"4.05": 25, "0.0": 2, "4.01": 3};{"0.06": 26, "0.03": 4}
40131156001003;[[33.395418, -112.107739], [33.396191, -112.107743], [33.3962, -112.106769], [33.396203, -112.106747], [33.396222, -112.106705], [33.396239, -112.106687], [33.396468999999996, -112.106532], [33.396721, -112.106337], [33.397086, -112.106027], [33.397323, -112.105794], [33.397523, -112.105581], [33.397647, -112.105437], [33.397138, -112.104822], [33.397064, -112.10491], [33.396909, -112.105082], [33.396777, -112.105215], [33.396552, -112.10542699999999], [33.396374, -112.105577], [33.396108999999996, -112.105782], [33.395922999999996, -112.10591], [33.395567, -112.106129], [33.395184, -112.10631599999999], [33.394982, -112.106401], [33.394731, -112.10649], [33.394697, -112.106507], [33.394675, -112.106529], [33.394658, -112.106566], [33.394655, -112.106587], [33.39465, -112.107737], [33.395418, -112.107739]];3.8552380952380965;0.028809523809523823;{"4.05": 38, "4.01": 2, "0.0": 2};{"0.03": 36, "0.06": 2, "0.01": 1, "0.0": 3}
40131166021016;[[33.385022, -112.097676], [33.386778, -112.097676], [33.386776999999995, -112.09812], [33.386919999999996, -112.09811], [33.387316, -112.09785600000001], [33.387395999999995, -112.097819], [33.387521, -112.0978], [33.387926, -112.097801], [33.387927999999995, -112.096922], [33.387405, -112.096912], [33.387408, -112.094847], [33.385016, -112.094853], [33.385016, -112.095933], [33.385022, -112.097676]];3.542083333333332;0.08250000000000003;{"0.0": 3, "4.05": 20, "4.01": 1};{"0.06": 23, "0.6": 1}
40131144021014;[[33.448068, -112.106592], [33.44697, -112.10658], [33.446965999999996, -112.107737], [33.448060999999996, -112.107745], [33.448068, -112.106592]];2.8871428571428575;0.19999999999999998;{"0.0": 2, "4.05": 4, "4.01": 1};{"0.2": 7}
40131144021015;[[33.448085999999996, -112.104427], [33.446985999999995, -112.10442], [33.44697, -112.10658], [33.448068, -112.106592], [33.448076, -112.10526899999999], [33.448085999999996, -112.104427]];3.1204545454545443;0.14136363636363639;{"4.01": 5, "4.05": 12, "0.0": 5};{"0.2": 14, "0.0": 1, "0.13": 1, "0.03": 6}
